system:index,B11,B12,B5,B6,B7,B8,Blue,Green,Red,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_CDIST,aero_level,cirrus_conf,class,cloud_conf,cloudshad_conf,date,dialated_cloud,mission,snowice_conf,system:time_start,vol_init,.geo
000000000000000010c1,NA,NA,-6.250000000000006e-4,0.00374749999999998,0.00400874999999999,NA,0.00944,0.01334499999999999,9.000000000000674e-5,0.00384374999999999,0.00944,0.01334499999999999,9.000000000000674e-5,-6.250000000000006e-4,0.00374749999999998,0.00400874999999999,9.3,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.97101041380583,46.78207901909048]}"
000000000000000010c2,NA,NA,-0.00129875,0.00270249999999999,0.00355499999999998,NA,0.00583749999999999,0.00816124999999999,-0.00274249999999999,9.012499999999924e-4,0.00583749999999999,0.00816124999999999,-0.00274249999999999,-0.00129875,0.00270249999999999,0.00355499999999998,21.55,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.7114595187879,46.75667997949006]}"
000000000000000010c3,NA,NA,-9.412500000000046e-4,0.00455875,0.00482,NA,0.00696499999999999,0.00864249999999999,-0.00135375,0.00149249999999999,0.00696499999999999,0.00864249999999999,-0.00135375,-9.412500000000046e-4,0.00455875,0.00482,16.2,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.66614167478173,46.82015082388481]}"
000000000000000010c4,NA,NA,-5.975000000000147e-4,0.00398124999999999,0.0044625,NA,0.0100175,0.01400499999999999,7.087499999999941e-4,0.00475124999999999,0.01001749999999999,0.01400499999999999,7.087499999999941e-4,-5.975000000000147e-4,0.00398124999999999,0.0044625,5.5200000000000005,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.70115899535446,46.936551197783956]}"
000000000000000010c5,NA,NA,-3.912500000000097e-4,0.003665,0.00466874999999999,NA,0.01040249999999999,0.01612249999999999,4.612499999999964e-4,0.00404999999999999,0.01040249999999999,0.01612249999999999,4.612499999999964e-4,-3.912500000000097e-4,0.003665,0.00466874999999999,10.58,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.91058513543058,46.71903178929581]}"
000000000000000010c6,NA,NA,-0.00189,0.00465499999999999,0.00487499999999999,NA,0.0049025,0.009,-0.00123,-0.00158749999999999,0.0049025,0.009,-0.00123,-0.00189,0.00465499999999999,0.00487499999999999,12.93,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.50367878700048,47.02845772959653]}"
000000000000000010c7,NA,NA,0.00239999999999998,0.00767999999999999,0.0080925,NA,0.00616749999999999,0.00762499999999999,3.100000000000047e-4,6.950000000000012e-4,0.00616749999999999,0.00762499999999999,3.100000000000047e-4,0.00239999999999998,0.00767999999999999,0.0080925,16.52,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.24961704537935,47.07149697296438]}"
000000000000000010c8,NA,NA,0.00421499999999999,0.00886249999999999,0.00886249999999999,NA,0.00712999999999999,0.0080375,0.00217999999999998,0.00297749999999999,0.00712999999999999,0.0080375,0.00217999999999998,0.00421499999999999,0.00886249999999999,0.00886249999999999,14.89,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.20635930605987,47.13412950636109]}"
000000000000000010c9,NA,NA,0.00201499999999998,0.00745999999999999,0.00762499999999999,NA,0.00729499999999999,0.00996249999999998,6.400000000000017e-4,-5.975000000000008e-4,0.00729499999999999,0.00996249999999998,6.400000000000017e-4,0.00201499999999998,0.00745999999999999,0.00762499999999999,26.98,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.11984382742091,46.949299767695756]}"
000000000000000010ca,NA,NA,8.32499999999986e-4,0.00528749999999998,0.00587875,NA,0.00769374999999999,0.01009999999999999,3.499999999999337e-5,0.00149249999999999,0.00769374999999999,0.01009999999999999,3.499999999999337e-5,8.32499999999986e-4,0.00528749999999998,0.00587875,24.01,2,1,openWater,1,1,2020-08-11,0,LS8,1,2020-08-11T00:00:00Z,HAD,"{""type"":""Point"",""coordinates"":[-91.4556141367454,46.85828505609388]}"
