"system.index","SR_B2","SR_B3","SR_B4","SR_B5","SR_B6","SR_B7","class","lat","lon",".geo","vol_init"
"1_1_1_1_1_1_1_0",0.100355,0.07916625,0.06214375,0.04473625,0.01462375,0.0134825,"openWater",46.753299299838,-91.7505639221307,"{""type"":""Point"",""coordinates"":[-91.75056392213071,46.75329929983805]}","BGS"
"1_1_1_1_1_1_1_1",0.09151375,0.08928625,0.06235,0.04486,0.01467875,0.00479249999999999,"openWater",46.816772496736,-91.6915124084588,"{""type"":""Point"",""coordinates"":[-91.69151240845883,46.81677249673597]}","BGS"
"1_1_1_1_1_1_1_2",0.10265125,0.089135,0.0705175,0.044805,0.01465125,-0.01262875,"openWater",46.8200616586736,-91.6125481750604,"{""type"":""Point"",""coordinates"":[-91.6125481750604,46.82006165867362]}","BGS"
"1_1_1_1_1_1_1_3",0.0910875,0.08898375,0.05388,0.0447225,0.0206325,0.0134825,"openWater",46.78292943855,-91.6537469055292,"{""type"":""Point"",""coordinates"":[-91.65374690552915,46.78292943855]}","BGS"
"1_1_1_1_1_1_1_4",0.10490625,0.08898375,0.05388,0.05378375,0.0086425,0.0134825,"openWater",46.7448305521422,-91.8041222717401,"{""type"":""Point"",""coordinates"":[-91.80412227174008,46.74483055214219]}","BGS"
"1_1_1_1_1_1_1_5",0.0987875,0.095515,0.0604525,0.0580875,0.0161775,0.00569999999999998,"openWater",47.0731162572408,-91.31657633812,"{""type"":""Point"",""coordinates"":[-91.31657633811997,47.0731162572408]}","BGS"
"1_1_1_1_1_1_1_6",0.09942,0.0959825,0.0607275,0.049645,0.0162325,0.0143075,"openWater",47.1404152962969,-91.3255027297215,"{""type"":""Point"",""coordinates"":[-91.32550272972153,47.140415296296865]}","BGS"
"1_1_1_1_1_1_1_7",0.103875,0.0867425,0.076485,0.0496725,0.0103475,0.0143075,"openWater",47.2070305992081,-91.108326921841,"{""type"":""Point"",""coordinates"":[-91.10832692184101,47.20703059920808]}","BGS"
"1_1_1_1_1_1_1_8",0.107175,0.086055,0.0681525,0.0493975,0.01615,0.0142525,"openWater",47.1272036503907,-91.031422624966,"{""type"":""Point"",""coordinates"":[-91.031422624966,47.12720365039073]}","BGS"
"1_1_1_1_1_1_1_9",0.0976875,0.07621,0.059985,0.04915,0.016095,0.0056725,"openWater",47.030096716151,-91.1032941126196,"{""type"":""Point"",""coordinates"":[-91.10329411261961,47.030096716150965]}","BGS"
"1_1_1_1_1_1_1_10",0.0850925,0.08633,0.06478375,0.04374625,0.017415,0.00909624999999999,"openWater",46.6803119954888,-90.6433074552756,"{""type"":""Point"",""coordinates"":[-90.64330745527558,46.680311995488815]}","BGS"
"1_1_1_1_1_1_1_11",0.098265,0.086055,0.064605,0.05251875,0.011475,0.00887625,"openWater",46.7015066968396,-90.4592864591818,"{""type"":""Point"",""coordinates"":[-90.45928645918183,46.70150669683964]}","BGS"
"1_1_1_1_1_1_1_12",0.074945,0.0635325,0.04992,0.0391675,0.0156275,0.0055075,"openWater",46.6963265379035,-90.1248900968771,"{""type"":""Point"",""coordinates"":[-90.12489009687714,46.696326537903516]}","BGS"
"1_1_1_1_1_1_1_13",0.076265,0.0734325,0.05047,0.03947,0.0100175,0.00553499999999998,"openWater",46.8270908642744,-90.1571624357443,"{""type"":""Point"",""coordinates"":[-90.15716243574433,46.82709086427439]}","BGS"
