system:index,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,class,lat,lon,.geo
1_1_1_1_1_1_1_0,0.01209375,0.013977500000000004,0.0028262499999999885,0.010223750000000004,0.0025099999999999983,0.00417374999999999,openWater,46.80601672717871,-91.74104530160017,"{""type"":""Point"",""coordinates"":[-91.74104530160017,46.80601672717871]}"
1_1_1_1_1_1_1_1,0.011859999999999996,0.008889999999999995,-0.0012024999999999952,0.010113750000000005,0.0024824999999999986,0.004159999999999997,openWater,46.778045134926856,-91.79082710091657,"{""type"":""Point"",""coordinates"":[-91.79082710091657,46.77804513492685]}"
1_1_1_1_1_1_1_2,0.007982500000000003,0.007762499999999992,-0.0021512499999999934,0.009481249999999997,0.0022762499999999936,8.999999999999286E-5,openWater,46.785568336670565,-91.8361457044322,"{""type"":""Point"",""coordinates"":[-91.8361457044322,46.785568336670565]}"
1_1_1_1_1_1_1_3,0.02296999999999999,0.019779999999999992,0.011199999999999988,0.023877499999999996,0.01389499999999999,0.012217499999999992,openWater,46.750529479769675,-92.04110938851423,"{""type"":""Point"",""coordinates"":[-92.04110938851423,46.750529479769675]}"
1_1_1_1_1_1_1_4,0.022557500000000008,0.019174999999999998,0.014197500000000002,0.027315000000000006,0.015325000000000005,0.015737499999999988,openWater,46.92083132112354,-91.74641937324614,"{""type"":""Point"",""coordinates"":[-91.74641937324614,46.92083132112354]}"
1_1_1_1_1_1_1_5,-0.0023299999999999987,-5.150000000000154E-4,-0.009204999999999991,1.724999999999921E-4,9.974999999999845E-4,0.003527499999999989,openWater,47.109812376463324,-91.2328513505716,"{""type"":""Point"",""coordinates"":[-91.2328513505716,47.109812376463324]}"
1_1_1_1_1_1_1_6,-0.0025775000000000103,-7.074999999999998E-4,-0.005272500000000013,3.500000000000725E-5,9.699999999999986E-4,0.003500000000000003,openWater,47.0981278997319,-91.21911844041534,"{""type"":""Point"",""coordinates"":[-91.21911844041534,47.09812789973189]}"
1_1_1_1_1_1_1_7,-0.007252499999999995,-2.1250000000000435E-4,-0.008957500000000007,3.374999999999906E-4,0.003939999999999999,0.003527499999999989,openWater,47.07942740247428,-91.21980508592316,"{""type"":""Point"",""coordinates"":[-91.21980508592316,47.07942740247428]}"
1_1_1_1_1_1_1_8,0.024152499999999993,0.01999999999999999,0.012410000000000004,0.015297499999999992,0.005424999999999985,0.009247499999999992,openWater,46.77946325922231,-90.60934357363902,"{""type"":""Point"",""coordinates"":[-90.60934357363902,46.77946325922231]}"
1_1_1_1_1_1_1_9,0.019779999999999992,0.01988999999999999,0.012355000000000005,0.015215000000000006,0.008092500000000002,0.009247499999999992,openWater,46.75688794076016,-90.5640249701234,"{""type"":""Point"",""coordinates"":[-90.5640249701234,46.75688794076016]}"
1_1_1_1_1_1_1_10,0.017579999999999985,0.018185000000000007,0.010897500000000004,0.014224999999999988,0.0050675000000000026,0.009082499999999993,openWater,46.819887043327576,-90.3607778998109,"{""type"":""Point"",""coordinates"":[-90.3607778998109,46.819887043327576]}"
1_1_1_1_1_1_1_11,0.023877499999999996,0.024125000000000008,0.012245000000000006,0.015160000000000007,0.008092500000000002,0.001574999999999993,openWater,46.81706776482948,-90.58325104434215,"{""type"":""Point"",""coordinates"":[-90.58325104434215,46.81706776482949]}"
1_1_1_1_1_1_1_12,0.021595000000000003,0.019669999999999993,0.012162499999999993,0.019174999999999998,0.005369999999999986,0.0053974999999999995,openWater,46.751242632742574,-90.59423737246715,"{""type"":""Point"",""coordinates"":[-90.59423737246715,46.75124263274258]}"
1_1_1_1_1_1_1_13,0.021828749999999994,0.01554499999999999,0.005424999999999999,0.01517375,0.00537,0.0053974999999999995,openWater,46.70982563702626,-90.53793244082652,"{""type"":""Point"",""coordinates"":[-90.53793244082652,46.70982563702626]}"
